sensor_type,timestamp_ns,sensor_time_ns,val_x,val_y,val_z
ACCEL,110031887912336,110031882963378,0.08080431,-0.108936176,9.6923275
GYRO,110031887985097,110031882963378,3.9947388E-4,0.0010652636,-0.0
ACCEL,110031889262857,110031885496972,0.076015905,-0.09935937,9.697116
GYRO,110031889360670,110031885496972,3.9947388E-4,-0.0,-0.0010652636
ACCEL,110031890426086,110031888032233,0.08559271,-0.11133038,9.687539
GYRO,110031890905722,110031888032233,3.9947388E-4,-0.0,-0.0
ACCEL,110031895917024,110031890511660,0.078410104,-0.11372458,9.706693
ACCEL,110031896613742,110031892991087,0.08319851,-0.11133038,9.7162695
GYRO,110031896665565,110031890511660,3.9947388E-4,-0.0,-0.0010652636
GYRO,110031896677232,110031892991087,3.9947388E-4,-0.0,-0.0
ACCEL,110031898592753,110031895471608,0.078410104,-0.11372458,9.6923275
GYRO,110031899600617,110031895471608,3.9947388E-4,-0.0,-0.0
ACCEL,110031904900826,110031897954212,0.08319851,-0.1400608,9.7162695
GYRO,110031904981034,110031897954212,3.9947388E-4,-0.0010652636,0.0010652636
ACCEL,110031906598951,110031900438795,0.09995792,-0.1376666,9.711481
ACCEL,110031906877336,110031902923378,0.08319851,-0.11851298,9.701904
GYRO,110031906924367,110031900438795,3.9947388E-4,-0.0,-0.0010652636
GYRO,110031906937961,110031902923378,-6.6578976E-4,-0.0021305273,-0.0
ACCEL,110031908164211,110031905412649,0.0712275,-0.11133038,9.706693
GYRO,110031908275513,110031905412649,-6.6578976E-4,-0.0010652636,-0.0
ACCEL,110031910791190,110031907907128,0.073621705,-0.10654198,9.69951
GYRO,110031910874992,110031907907128,-6.6578976E-4,-0.0021305273,0.0010652636
ACCEL,110031912855253,110031910407128,0.0712275,-0.11611878,9.694721
GYRO,110031912936659,110031910407128,3.9947388E-4,-0.0010652636,0.0010652636
ACCEL,110031919217336,110031912912701,0.0712275,-0.12808979,9.711481
GYRO,110031919304263,110031912912701,3.9947388E-4,-0.0,-0.0010652636
ACCEL,110031921998742,110031915420983,0.08080431,-0.12808979,9.704298
ACCEL,110031922100097,110031917929264,0.08798691,-0.11851298,9.697116
GYRO,110031922117128,110031915420983,-6.6578976E-4,-0.0021305273,-0.0
GYRO,110031922129836,110031917929264,-6.6578976E-4,-0.0021305273,-0.0
ACCEL,110031925809628,110031920440097,0.076015905,-0.11133038,9.701904
ACCEL,110031925909836,110031922950931,0.078410104,-0.11611878,9.704298
GYRO,110031925927545,110031920440097,-0.0017310535,-0.0,-0.0
GYRO,110031925940565,110031922950931,-6.6578976E-4,-0.0,-0.0010652636
ACCEL,110031929588170,110031925466503,0.076015905,-0.11133038,9.694721
GYRO,110031929679211,110031925466503,-6.6578976E-4,0.0010652636,-0.0
ACCEL,110031934427180,110031927984003,0.076015905,-0.12090719,9.670779
ACCEL,110031934527180,110031930501503,0.0712275,-0.130484,9.670779
GYRO,110031934550565,110031927984003,-6.6578976E-4,0.0010652636,-0.0010652636
GYRO,110031934565149,110031930501503,3.9947388E-4,-0.0,-0.0010652636
ACCEL,110031938446295,110031933022285,0.05925649,-0.12330139,9.68275
GYRO,110031938528690,110031933022285,-6.6578976E-4,0.0010652636,-0.0010652636
ACCEL,110031938555201,110031935545670,0.078410104,-0.11372458,9.69951
GYRO,110031938573117,110031935545670,3.9947388E-4,0.0010652636,-0.0010652636
ACCEL,110031941651295,110031938070931,0.06404489,-0.09935937,9.69951
