timestamp_s,east_m,north_m,speed_mps,bearing_deg,accuracy_m
300.092,-2351.0436231324575,162.55206004112893,11.77,252.3,3.7900925
301.109,-2362.2025971278854,159.41841637537067,11.78,253.1,3.7900925
302.106,-2373.1942849167367,155.73374122998965,11.85,251.7,3.7900925
303.1,-2384.43307520606,151.76074860359572,11.8,248.3,3.7900925
304.109,-2395.1896876064943,147.46826903865772,11.68,246.7,3.7900925
305.114,-2405.5122305704317,142.96428244115512,11.62,246.4,3.7900925
306.105,-2415.8938157254984,138.2799582686191,11.4,246.8,3.7900925
307.111,-2425.8489850586802,133.89397033126454,10.82,246.9,3.7900925
308.119,-2435.955039991723,129.46902057208447,10.88,247.8,3.7900925
309.123,-2445.7811912066913,125.1142020922611,11.16,248.8,3.7900925
310.101,-2456.291794481362,120.49221683461046,11.41,249.1,3.7900925
311.117,-2467.4693558315307,116.10622889743291,11.72,248.3,3.7900925
312.121,-2478.7048659995107,112.59632535266523,11.93,254.1,3.7900925
313.107,-2489.8616532483043,109.20330727337402,11.84,253.6,3.7900925
314.122,-2501.7980160827024,105.95723092171075,11.72,254.9,3.7900925
315.102,-2512.8553063053687,103.31005343081566,11.63,257.6,3.7900925
316.109,-2524.0930032213746,101.23951090194635,11.53,259.7,3.7900925
317.104,-2535.3011790411206,99.26358994034221,11.44,258.2,3.7900925
318.097,-2546.125580624787,97.5592885363138,10.96,259.5,3.7900925
319.141,-2557.1752172300594,95.1113729337635,10.87,258.8,3.7900925
320.097,-2568.096929089044,93.3336006658326,10.95,259.8,3.7900925
321.114,-2578.8699420989756,91.79961808266907,10.97,261.0,3.7900925
322.093,-2589.619994256724,90.5483870062754,10.95,261.5,3.7900925
323.122,-2600.481570551263,88.83406684790144,11.18,261.2,3.7900925
324.114,-2611.7914301437695,87.69860804178157,11.44,263.8,3.7900925
325.105,-2623.3833802037684,86.67558192138968,11.78,265.5,3.7900925
326.118,-2635.3295834049773,85.57908493709529,11.78,266.0,3.7900925
327.116,-2647.381843872217,85.16163684674021,11.77,267.7,3.7900925
328.11,-2659.080944572954,85.14048614337754,11.65,266.4,3.7900925
329.109,-2670.8631416903213,85.16052365171458,11.66,266.9,3.7900925
330.127,-2682.844332855768,84.82433878955628,11.61,266.0,3.7900925
331.114,-2694.177153300458,84.01949887099764,11.09,265.5,3.7900925
332.113,-2704.3903588756307,83.81578420308138,10.56,268.0,3.7900925
333.123,-2714.8014651241756,83.6042771705168,10.29,266.2,3.7900925
334.109,-2725.153529182982,83.54973061992571,10.55,266.6,3.7900925
335.123,-2735.9768373919396,83.31707288417547,10.74,266.4,3.7900925
336.126,-2746.8712149040816,83.52190074729438,10.88,267.6,3.7900925
337.115,-2757.1369024249157,82.43764890686572,10.62,268.3,3.7900925
338.125,-2766.8843307193056,82.40313986478871,10.0,266.0,3.7900925
339.131,-2775.9199726057586,80.64429191034625,9.13,257.9,3.7900925
340.124,-2783.9518972541446,78.05054777483957,8.3,246.3,3.7900925
341.115,-2790.916688981457,74.07978153814287,7.79,228.3,3.7900925
342.111,-2795.4410701680645,67.78911711356646,8.05,210.8,3.7900925
343.129,-2798.1001554849067,60.031261800106314,8.11,195.3,3.7900925
344.118,-2799.3323878673136,52.039635556047315,8.23,186.6,3.7900925
345.098,-2799.6122915853884,43.961180109194466,8.29,183.7,3.7900925
346.094,-2799.7555235650734,35.52984187656911,8.33,181.2,3.7900925
347.115,-2799.631972314837,27.22318147336043,8.3,178.8,3.7900925
348.114,-2799.8615808338855,18.778484902020743,8.19,179.4,3.7900925
349.118,-2799.9905989534905,10.359391813261116,8.13,180.0,3.7900925
350.122,-2799.9249965196755,2.018222368152458,8.13,179.0,3.7900925
351.118,-2799.8112856334683,-6.208288001531015,8.05,178.3,3.7900925
